auction_date,security_type,security_term,tenor_group
1988-08-10,Note,10-Year,10Y
1988-08-24,Note,5-Year 2-Month,5Y
1988-09-28,Note,4-Year,5Y
1988-11-09,Note,10-Year,10Y
1988-11-17,Bond,30-Year,30Y
1988-11-23,Note,5-Year 2-Month,5Y
1988-12-29,Note,4-Year,5Y
1989-02-08,Note,10-Year,10Y
1989-02-09,Bond,30-Year,30Y
1989-02-23,Note,5-Year 2-Month,5Y
1989-03-29,Note,4-Year,5Y
1989-05-10,Note,10-Year,10Y
1989-05-11,Bond,29-Year 9-Month,30Y
1989-05-25,Note,5-Year 2-Month,5Y
1989-06-28,Note,4-Year,5Y
1989-08-09,Note,10-Year,10Y
1989-08-10,Bond,30-Year,30Y
1989-08-23,Note,5-Year 2-Month,5Y
1989-09-27,Note,4-Year,5Y
1989-11-13,Note,10-Year,10Y
1989-11-14,Bond,29-Year 9-Month,30Y
1989-11-29,Note,5-Year 2-Month,5Y
1989-12-20,Note,4-Year,5Y
1990-02-07,Note,10-Year,10Y
1990-02-08,Bond,30-Year,30Y
1990-02-22,Note,5-Year 2-Month,5Y
1990-03-28,Note,4-Year,5Y
1990-05-09,Note,10-Year,10Y
1990-05-10,Bond,30-Year,30Y
1990-05-24,Note,5-Year 2-Month,5Y
1990-06-27,Note,4-Year,5Y
1990-08-08,Note,10-Year,10Y
1990-08-09,Bond,30-Year,30Y
1990-08-29,Note,5-Year 2-Month,5Y
1990-09-26,Note,4-Year,5Y
1990-11-07,Note,10-Year,10Y
1990-11-08,Bond,29-Year 9-Month,30Y
1990-11-28,Note,5-Year 2-Month,5Y
1990-12-27,Note,4-Year,5Y
1991-01-24,Note,5-Year,5Y
1991-02-06,Note,10-Year,10Y
1991-02-07,Bond,30-Year,30Y
1991-02-21,Note,5-Year,5Y
1991-03-27,Note,5-Year,5Y
1991-04-25,Note,5-Year,5Y
1991-05-08,Note,10-Year,10Y
1991-05-09,Bond,30-Year,30Y
1991-05-23,Note,5-Year,5Y
1991-06-26,Note,5-Year,5Y
1991-07-24,Note,5-Year,5Y
1991-08-07,Note,10-Year,10Y
1991-08-08,Bond,30-Year,30Y
1991-08-28,Note,5-Year,5Y
1991-09-25,Note,5-Year,5Y
1991-10-24,Note,5-Year,5Y
1991-11-06,Note,10-Year,10Y
1991-11-07,Bond,30-Year,30Y
1991-11-26,Note,5-Year,5Y
1991-12-19,Note,5-Year,5Y
1992-01-23,Note,5-Year,5Y
1992-02-12,Note,9-Year 9-Month,10Y
1992-02-13,Bond,29-Year 9-Month,30Y
1992-02-26,Note,5-Year,5Y
1992-03-25,Note,5-Year,5Y
1992-04-23,Note,5-Year,5Y
1992-05-06,Note,10-Year,10Y
1992-05-07,Bond,29-Year 6-Month,30Y
1992-05-21,Note,5-Year,5Y
1992-06-24,Note,5-Year,5Y
1992-07-29,Note,5-Year,5Y
1992-08-12,Note,10-Year,10Y
1992-08-13,Bond,30-Year,30Y
1992-08-26,Note,5-Year,5Y
1992-09-23,Note,5-Year,5Y
1992-10-28,Note,5-Year,5Y
1992-11-10,Note,9-Year 9-Month,10Y
1992-11-12,Bond,30-Year,30Y
1992-11-24,Note,5-Year,5Y
1992-12-23,Note,5-Year,5Y
1993-01-27,Note,5-Year,5Y
1993-02-10,Note,10-Year,10Y
1993-02-11,Bond,30-Year,30Y
1993-02-24,Note,5-Year,5Y
1993-03-25,Note,5-Year,5Y
1993-04-28,Note,5-Year,5Y
1993-05-12,Note,9-Year 9-Month,10Y
